tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
+/UeLPwTo02mVR+uQYsh7Q==,local,null,null,0,108,106,102,16,51,82,0,3,42
cegSYW7A1kSZWqwIGq+KSA==,remote,edge1,cloud1,1048576,3656,3649,3565,1774,1264,1628,276,845,22
zh8GOQIWVkyfKTEGiOMasQ==,local,null,null,0,2584,2547,2493,705,996,1425,0,3,3
2XrNrgUfTEyCr0OECPgr2w==,none,null,null,0,1,0,0,0,0,0,0,0,0
dXX1HFfJHUKzQgdVp0RH+A==,local,null,null,0,2556,2540,2473,1782,23,494,0,1,6
FsjuGZZfckSzmAtK3cGJqw==,local,null,null,0,2975,2407,2297,1655,31,473,0,40,2
EbC2GceY10Syi3UqGPz8kQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
3GvD226wFEK0l9FxZmplNw==,remote,edge1,cloud1,1048576,2043,2042,1169,1055,35,108,17,365,19
opQt1deZtE+vEUGF5LeHqA==,local,null,null,0,121,119,119,16,48,94,0,14,13
kRQPtkcTSkyWfm46T5rchg==,remote,edge1,cloud1,1048576,2172,2170,2135,999,1078,1132,22,471,23
EcjrJulaGUK7FcSVUFCauQ==,local,null,null,0,87,86,72,10,17,43,0,5,2
ymL7LLvlAUu2BvxnvkHlXg==,local,null,null,0,50,49,44,3,19,39,0,2,2
6SFhOI16UkacON79YzDdJw==,none,null,null,0,1,0,0,0,0,0,0,0,0
quwuLfE7XEymeKLKMNUHPA==,local,null,null,0,806,804,82,14,10,63,0,6,3
VU6/2YkloUaSD8iyuCG3iA==,none,null,null,0,2,0,0,0,0,0,0,0,0
HqY4DBzkJU+IKrxlGTbxlA==,local,null,null,0,2588,2555,2495,681,994,1442,0,3,6
Tam8d68A+U2Y83AFb5vMyg==,local,null,null,0,187,185,183,4,28,175,0,2,8
gAnW4jU5vEeKTKzF6/bM9A==,local,null,null,0,92,91,87,14,33,64,0,5,16
qAQAWNCpz0C4+3OxNuSf9g==,none,null,null,0,0,0,0,0,0,0,0,0,0
w5835k8Pb0u2OFbHiruTpg==,remote,edge1,cloud1,1048576,501,499,464,405,24,55,18,399,19
ZOK+q9Rqa0OTEuZOILRqgQ==,local,null,null,0,3067,3066,2064,2010,22,49,0,3,2
FTdt+F6io0SqzoqKzbHAcw==,local,null,null,0,3065,3064,3054,3004,18,45,0,3,3
/A5zXFavGUqKFzubOqhO2Q==,none,null,null,0,1,0,0,0,0,0,0,0,0
q5N7VHGp8kajreIOfNA8Lw==,none,null,null,0,6,0,0,0,0,0,0,0,0
vz5FeJphZkSjV0MrdsUoIw==,remote,edge1,cloud1,1048576,3665,3646,3565,1769,549,1626,252,841,19
so5RONgIBkSK+13qGy4SkQ==,local,null,null,0,2587,2553,2498,703,1002,1422,0,5,8
ja8HtMBTykKXj4wBQNOwRA==,remote,edge1,cloud1,1048576,529,521,485,381,75,101,20,380,62
e16yZBWWYUuaFKTfyGSTkQ==,local,null,null,0,2982,2406,2298,1654,25,483,0,22,3
UP/t1y3fhUmCylUQJ/fUAA==,none,null,null,0,0,0,0,0,0,0,0,0,0
/y8XgqocaUO5VZOXifAcEQ==,local,null,null,0,73,72,68,4,9,55,0,1,2
U0fMgeu4E0WfYgKZXg29kg==,local,null,null,0,788,787,783,7,721,770,0,9,7
j7u27PplXE2qN4KW6nu6Ew==,local,null,null,0,2025,2024,2015,1932,14,80,0,4,3
Dx6h4qjI/E+bxFEmlQtlcQ==,local,null,null,0,2559,2540,2467,1787,31,494,0,2,7
EG+xAr5A902EBvqgSByz2A==,remote,edge1,cloud1,1048576,2072,2070,2037,944,1054,1088,18,441,16
EY4OApz9Nk6oHtLRtaHKmQ==,local,null,null,0,128,127,119,3,26,105,0,2,9
zqCuPbmJVEeeKZQxZRZkMg==,remote,edge1,cloud1,1048576,487,484,448,378,23,68,21,377,17
UrpzFdaz20uoIiidPumOZw==,local,null,null,0,843,841,829,733,9,88,0,9,2
Nt51XFpoo0CLI1dYXwyTBw==,local,null,null,0,2091,2084,2077,1940,55,131,0,9,18
gs+lcBZLek6r/qnr3K8odQ==,local,null,null,0,3078,3077,3068,3004,10,58,0,5,2
JomP97eon0GHSf17wbeGeQ==,local,null,null,0,56,55,52,6,13,45,0,3,1
9uHA1iT+OEC3JNFAXxBDIg==,none,null,null,0,1,0,0,0,0,0,0,0,0
JS/LGXM9QUiPLTKlQMS/vg==,local,null,null,0,2040,2038,1103,1003,29,92,0,8,5
U8F0j3LKK0O6nDTXG/zQJQ==,remote,edge1,cloud1,1048576,3648,3642,3525,1773,1263,1628,250,852,22
Uxuh6D68/kKqMu+PQ+J3NQ==,local,null,null,0,2563,2547,2473,1787,21,474,0,1,3
NTEk2yZwdUyULpHY7LU7ZQ==,local,null,null,0,2979,2406,2298,1649,32,481,0,38,10
