tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
dup0BSWGiUe1j3qW+RBiaA==,none,null,null,0,0,0,0,0,0,0,0,0,0
DHn4cOmVPU6x3tvH69ToGg==,remote,cloud1,edge1,1048576,18,18,16,9,3,6,2,8,0
UIh1/zRvPE+JCl8kBNssWQ==,remote,edge1,cloud1,1048576,26,26,25,8,2,16,0,7,0
Bn4xH1smiEq8ZP8PDm1YjQ==,remote,edge1,edge1,1048576,112,111,110,82,3,27,0,81,1
PTVLXfG4OUGjucDrohTERw==,none,null,null,0,0,0,0,0,0,0,0,0,0
+qc6TrRMNE63FnSvYMYqXQ==,none,null,null,0,1,0,0,0,0,0,0,0,0
8qJvmF3vf0Gbm/RQZongJQ==,local,null,null,0,68,55,37,9,4,27,0,1,0
13gnknJ+IEi6x9yCleKmNw==,remote,cloud1,cloud1,1048576,113,113,108,82,7,25,0,30,1
IkDwPVuXQ0+wz/Iewp1ndQ==,local,null,null,0,25,24,23,2,4,20,0,1,2
/27W4C5+r0KTNIPXilBVGQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
3oPPeMpMQUC/yMFFNfPAsA==,remote,edge1,cloud1,1048576,131,128,122,107,5,13,3,106,1
o22Zrk8uiEKSQoe6Fw0p0A==,remote,edge1,cloud1,1048576,62,61,60,32,8,25,1,31,1
b7UsjS8Zdk66IfsvU17mKA==,none,null,null,0,0,0,0,0,0,0,0,0,0
Wp8ADujIJ0CPAdXc+xUCJg==,remote,edge1,cloud1,1048576,58,58,57,46,5,10,1,45,0
Fobk79gX7UybYVzQkQo8jw==,remote,edge1,cloud1,1048576,64,63,62,54,2,7,1,54,0
qnajwi4N+0yaeXU7hhOjuA==,remote,edge1,cloud1,1048576,19,19,17,10,3,6,1,10,0
fXZNt1DjnkCrGlZzwCHqnQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
P+BR5/VYhUm7DP1Wy2Ma3A==,none,null,null,0,0,0,0,0,0,0,0,0,0
gUeQm+ZMlUSBgu04s5DJNg==,remote,edge1,cloud1,1048576,66,65,64,43,3,10,1,37,0
sWELcld+PE6EuJJMAN4sew==,remote,edge1,edge1,1048576,39,34,33,20,4,12,0,20,0
wpcpwzccFEKoW2TRRoFxOg==,local,null,null,0,114,113,97,70,4,12,0,6,1
nn21T3GSaU2RgqXs6CB09A==,remote,edge1,cloud1,1048576,39,39,38,16,2,17,0,14,0
jO/k7vT+j0u6MIHZzlvEmg==,remote,edge1,edge1,1048576,73,73,72,52,3,18,7,46,1
V1xcv13G7UevXum7SiR3jg==,remote,edge1,cloud1,1048576,39,38,37,23,4,13,0,20,0
FH3auiufvUmfgfaUvN+w/A==,remote,edge1,cloud1,1048576,119,119,109,86,4,22,0,81,1
3O7YLJaQzUSuWMwk5IUvpg==,none,null,null,0,0,0,0,0,0,0,0,0,0
R5IetVd7ckuiJE9fnfyPDw==,none,null,null,0,0,0,0,0,0,0,0,0,0
eW+8DTBnzkexrKLT7ZJLmw==,local,null,null,0,40,40,39,9,17,26,0,3,4
L9fsX4OE8kG3cn6OmBiwaQ==,remote,cloud1,cloud1,1048576,136,130,132,106,4,18,0,101,1
LtUKBvAYTkWWSAcgfZzx3Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
8dXc9LowTUe/Gis7lDkW9w==,remote,edge1,cloud1,1048576,39,34,32,19,4,11,2,17,1
YbuDwzBlvUqM7IKr+WTZ0g==,remote,edge1,cloud1,1048576,28,28,27,21,2,5,2,21,0
9Z31RwvPv0Gex2XbOwA4EA==,local,null,null,0,28,27,26,5,11,19,0,1,1
71zsbBdf9UmZ+nE7A2resw==,remote,edge1,edge1,1048576,235,215,212,149,41,61,5,147,4
nCm/ac9I1UiX2BwXTOYLHg==,remote,edge1,cloud1,1048576,224,217,198,43,7,37,0,33,4
k5zu/m/WLk29GVe9T99DYg==,none,null,null,0,0,0,0,0,0,0,0,0,0
RRhcJj1Cq0uxJA2imYIXFg==,none,null,null,0,2,0,0,0,0,0,0,0,0
c8E4zXmJF0yITX4e0+Q9eQ==,local,null,null,0,35,34,20,5,4,13,0,1,1
pIFgH3ab9Ei/OB1wq4tlSw==,remote,edge1,cloud1,1048576,88,85,83,67,6,14,1,59,0
094ZrlmqfUelihturYlEIg==,remote,edge1,cloud1,1048576,38,37,35,15,10,17,0,14,3
PwgbSuRA40yccUPcpCiCeA==,remote,edge1,cloud1,1048576,195,189,171,32,3,31,1,31,0
hC9q89lT+UOU7psUyjpsLg==,remote,edge1,cloud1,1048576,26,26,25,8,2,16,0,7,0
k4YXSiLqtUe8QQoM5FSSBQ==,remote,cloud1,cloud1,1048576,125,124,120,102,7,16,2,51,1
UrS2FF2XykCxYsK75ZE3wA==,none,null,null,0,0,0,0,0,0,0,0,0,0
ez/qJIUfT0SARSg7vYwxxA==,local,null,null,0,50,49,25,3,9,20,0,1,2
NrPd1QE26EWji3cr6kLzWA==,none,null,null,0,0,0,0,0,0,0,0,0,0
sW/C+/wkZUOAu4rK1bka6w==,remote,edge1,cloud1,1048576,25,24,23,14,2,7,0,14,0
yvtCBpBxZEmyr1pV+zcB9Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
tQqtV+Oip0GSPhSO46wCUQ==,local,null,null,0,100,66,58,41,5,11,0,1,0
y9HaYZ5hLkWd7Azpp2kfBg==,local,null,null,0,151,151,143,8,100,133,0,2,1
aGKqr7xiQkSt7zxXR8LX5g==,remote,edge1,cloud1,1048576,66,66,65,43,3,20,1,42,0
SXJUSEu0KEudVvawJrHzVw==,remote,edge1,cloud1,1048576,50,50,43,20,13,22,1,19,1
tAQZ99C5EUaSwC4YG0gnlw==,remote,edge1,cloud1,1048576,62,47,43,31,4,9,2,30,0
Zg/RpPa1RkaU5X1MYrrmCQ==,remote,edge1,edge1,1048576,235,203,202,140,39,61,0,131,2
Rw7pluRpMUKKfcfq8etFnA==,remote,edge1,cloud1,1048576,45,44,42,31,4,8,0,29,1
zk4KUmdw1EGV2+Jf1ys23Q==,remote,cloud1,edge1,1048576,82,82,76,59,4,15,0,57,0
0yWIWU6ac0+BAGlmUGempQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
KkoyLkPfa0yXc0Jj9YlThA==,remote,cloud1,cloud1,1048576,139,139,138,130,2,7,0,71,0
Rq/FrSAgnUWxgbWSZnPDNQ==,local,null,null,0,17,17,16,2,7,13,0,1,0
31mXZrdcbEGKOoy3eAohlA==,remote,cloud1,cloud1,1048576,20,20,19,9,4,8,0,7,1
v1xCWr82cUm80QvEWl/ZVg==,remote,cloud1,edge1,1048576,56,55,51,25,5,22,3,24,1
f2C4eRIjl0yq9W1rRZ9vHQ==,remote,edge1,edge1,1048576,214,186,185,162,8,20,0,143,0
wOQT1L9nEkSc+L6WlF9tGg==,none,null,null,0,0,0,0,0,0,0,0,0,0
d0BoXQG2XUqgYYl3ANQCuw==,remote,cloud1,cloud1,1048576,61,61,60,40,3,10,1,39,0
d/hufwlGM0WOR160hXUgLQ==,remote,cloud1,cloud1,1048576,23,23,22,13,3,8,0,13,0
Lzfto3mAX0W6ogPgi4T/fA==,none,null,null,0,0,0,0,0,0,0,0,0,0
ttVO3oTW30W4M7MVjpTsxw==,remote,cloud1,cloud1,1048576,65,65,62,52,3,9,1,50,1
qpwwzGEmPUq0kUdJ3DHB8w==,remote,edge1,cloud1,1048576,54,47,40,30,3,9,3,26,1
W60mgOvVokedpNygAbdiXg==,remote,edge1,edge1,1048576,120,120,119,106,5,12,0,101,1
t5ij37BP8EuroKsySdV+/A==,remote,edge1,cloud1,1048576,134,121,115,85,6,27,0,81,4
h7QrOHWuRE+Eb3UaurJQ7g==,remote,edge1,cloud1,1048576,132,130,119,104,7,13,3,88,2
FmHHRr+eiky9neHRQZXN+w==,remote,edge1,edge1,1048576,239,232,218,152,44,61,2,151,1
fK3EAY4ERUe+Gt5E7XRm9Q==,local,null,null,0,42,42,32,2,4,28,0,5,1
ZM6UHr/J40qn70I47hEyYg==,none,null,null,0,0,0,0,0,0,0,0,0,0
49W+rC55skSZQqeTHDNtwA==,none,null,null,0,0,0,0,0,0,0,0,0,0
6388eVIIJ0yr2Ig+QuoZaA==,remote,cloud1,cloud1,1048576,26,26,25,15,4,8,0,15,1
0EPdqbhDBkSul9F16JsBCQ==,remote,cloud1,edge1,1048576,144,144,143,118,4,24,0,60,1
3VjsHzqzEkCTIawbMFco8Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
OfpysUxRO0iDU4MfEKdQ2A==,local,null,null,0,16,16,13,3,6,9,0,1,3
S6JXhtfhWUSkMkIGKQb6yw==,remote,cloud1,edge1,1048576,90,90,89,37,18,46,0,35,8
YxqBQwyYRkyCJHQ61u8BtQ==,remote,edge1,cloud1,1048576,74,73,72,43,6,29,0,43,0
5FISrXUd2EK8v1syMx1qfQ==,remote,edge1,cloud1,1048576,58,57,40,32,2,6,1,31,0
0wvMwOacb068dGr8cR63gA==,remote,cloud1,cloud1,1048576,51,48,47,37,3,9,4,33,0
6d+hIYriIUST1GZfJpze8A==,remote,cloud1,edge1,1048576,57,57,55,37,4,13,0,37,1
QGeqYeqXk06oIFbii0DjOQ==,remote,cloud1,edge1,1048576,22,21,21,9,3,10,0,8,0
ZTBobX2K3Ua5IKXqeXV76w==,none,null,null,0,0,0,0,0,0,0,0,0,0
Vaj/OjolCE2+Wps334TG9Q==,remote,cloud1,edge1,1048576,96,96,94,24,3,7,2,23,0
Q8rDUPtZ0UyCqZBcoFKN3w==,none,null,null,0,0,0,0,0,0,0,0,0,0
6fR6ysRUF0WqzP47trL7nA==,remote,cloud1,edge1,1048576,110,110,96,71,6,14,1,64,0
wz2JMPMIWkC51iMxKlh9Rg==,local,null,null,0,68,68,57,9,9,43,0,5,2
T/q5Bw5mhUqW6Zik/Mmkpg==,remote,cloud1,cloud1,1048576,64,64,56,39,5,15,2,38,1
JJmtDrO64EC6fghpdlJlkg==,remote,edge1,cloud1,1048576,60,60,54,16,9,30,0,14,0
k6Cea387T0C458Rpq6tTAA==,remote,cloud1,edge1,1048576,160,160,159,129,15,29,5,67,3
M6ph9lAOQ02/JpEWU8KyUg==,remote,edge1,cloud1,1048576,114,114,102,85,5,14,1,83,1
2+jU7qBhSU69Yx4L7ULLmw==,local,null,null,0,47,34,29,15,9,12,0,1,0
y4c3TXaqj0q0SkwTlMJvhQ==,local,null,null,0,51,51,43,12,12,30,0,2,1
Yy1L6lWTj0qctupvQoSDyg==,remote,edge1,cloud1,1048576,17,17,16,9,3,6,0,8,1
qhNrNArkkU+nEUUqMxZmqw==,remote,edge1,cloud1,1048576,162,161,149,125,7,22,3,124,0
+JEp+mIdMkSumAp2FBOF+A==,remote,cloud1,cloud1,1048576,17,17,16,8,3,6,0,8,0
lGG9SlhMgkmDspNzw9OCWw==,none,null,null,0,0,0,0,0,0,0,0,0,0
