tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
hF1RKdi8yEqmp69aKw9+lQ==,remote,edge1,cloud1,104857600,49019,49017,48934,4369,107,44370,94,4374,89
I3vu/PRNH0emkjuufaCing==,local,null,null,0,35512,35511,35508,6,42,35450,0,4,13
TGXAXwxAO0m7SCrk1M/HEA==,remote,edge1,edge1,104857600,38259,38257,38256,1108,32,37112,14,1105,9
kBbksF29pE2OAxPRHSoyXA==,local,null,null,0,46294,46294,46288,69,69,46113,0,62,10
U4rqmXfxK0yEr2aeSfuIvg==,local,null,null,0,36151,36150,36147,7,38,36090,0,3,10
d1Al7TxrtkOdjNdRJDcjVQ==,local,null,null,0,29588,29586,29583,5,20,29548,0,3,3
hNkf1aQGp067l1i2MLavMw==,remote,edge1,cloud1,104857600,38949,38948,38864,3815,106,34858,86,3804,87
n4Y6k/lVSUijVtV3fD/M7g==,local,null,null,0,31092,31091,31053,6,45,30962,0,3,23
mb0xuyh1UkSYsv3ZTNpA2w==,local,null,null,0,81021,81021,81010,368,142,80474,0,228,14
nulLDnucqkSc9+K4b0JaDA==,none,null,null,0,0,0,0,0,0,0,0,0,0
rLILyUi2Z069+O/ajK3P4w==,remote,edge2,edge2,104857600,29090,29089,29069,973,41,28034,22,973,20
8d1tQsmpN0GqY2V2OjpvTg==,remote,edge2,cloud1,104857600,48590,48589,48506,3834,127,44457,89,3833,90
VyJTMaQe/0Ga52TM0dV2Ug==,remote,edge2,edge2,104857600,29314,29313,29296,988,48,28240,28,987,28
2BB3SBSLQUeUJ67xMBIRtg==,local,null,null,0,54843,54843,54809,12,75,54674,0,10,30
IWvFwHsx8UKpuXugzeLorw==,remote,edge1,cloud1,104857600,48343,48342,48257,3836,117,44217,85,3835,90
yFZ+draNkEWZjPfgTcWzQw==,local,null,null,0,44714,44710,44704,46,55,44576,0,36,5
