tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
ltfJtVOLXEK5PPc4gt3L5A==,local,null,null,0,690,690,687,10,44,611,0,5,1
fZvQ8gpqTkW1DMCjUWdNJw==,local,null,null,0,416,415,410,19,71,309,0,18,2
SZeaOQlchEePtl/dsa3buA==,local,null,null,0,2541,2539,1537,1009,20,501,0,7,1
SQiA17qhjk+AH7C+KI5o3w==,local,null,null,0,633,631,629,19,38,559,0,15,6
kxqU4qA7GUWdeonjqxD2eQ==,local,null,null,0,1107,1107,1110,764,35,286,0,11,4
wkCQDhZ0Yk+hUfE3nYgyoA==,local,null,null,0,612,610,608,6,41,553,0,5,3
FhXSr7fMrkKYvcsczMSSZg==,local,null,null,0,397,397,395,12,32,342,0,7,5
BUn5UHTDVUWeh9KaZXmQKw==,local,null,null,0,3592,3591,2858,1013,51,785,0,8,4
e7RBUsR4kUOO6xrIt1w+cg==,remote,edge1,cloud1,104857600,28135,28134,28116,27868,37,188,17,27132,17
ocmvV6HFpkiZxWFAuCw+3A==,local,null,null,0,717,716,715,13,49,630,0,15,1
4A0fKx2rT0q8PNLnaUOUPA==,none,null,null,0,0,0,0,0,0,0,0,0,0
QWz6CGCQHUW0U7nBG/aJpA==,local,null,null,0,476,476,473,14,51,399,0,7,1
alQgkQr1RkGFdjuE4v1dkw==,none,null,null,0,0,0,0,0,0,0,0,0,0
OalFPkxuWkOwpMKkXtr7DA==,remote,edge1,cloud1,104857600,28290,28289,28271,27244,838,162,18,27243,17
3n8xIw4GvEG+Q4bDziu06Q==,local,null,null,0,1147,1146,1142,562,48,517,0,14,2
2twesCJEj0aJa6+heOW17Q==,none,null,null,0,1,0,0,0,0,0,0,0,0
UOI1IoUb60WCnR7oIVTbiA==,remote,edge1,cloud1,104857600,28334,28331,28311,27234,831,218,17,27234,17
ND2sEpiUs0+W/1mXy2E0Mg==,remote,edge1,cloud1,104857600,27435,27433,27413,27115,53,222,17,27113,17
QLt9zygxakKeU3B7JQeh8g==,remote,edge1,cloud1,104857600,28032,28029,28011,27202,510,274,19,27201,17
KcgEwkDfOk+7nBtqbEJUaw==,local,null,null,0,1311,1309,1307,825,67,401,0,9,1
U1pw4B3rakGv9oH1CeCW5A==,local,null,null,0,401,400,398,20,48,316,0,14,1
JzNBuQxMxkCQEG47ztQKgA==,remote,edge1,cloud1,104857600,30242,30240,30222,27108,2736,349,18,27106,17
YyZT2n6uk0qvg5r2rcBzzA==,local,null,null,0,3095,3094,3092,2731,50,297,0,4,2
YrP3yxkFGkK6OexexnZcMw==,none,null,null,0,0,0,0,0,0,0,0,0,0
1x/FwDi1a0KGc5nZcOURJw==,local,null,null,0,384,383,378,14,42,313,0,10,2
x8NOk/YnPUOb5qFVI6cMZw==,local,null,null,0,3418,3417,2487,2006,49,421,0,5,3
ARYe6s8qKEKz0jLMcRsLwA==,remote,edge1,cloud1,104857600,30239,30237,30214,27174,2000,1015,17,27170,16
0LSYFBN9TEiZ/dbIQ1Y0tQ==,remote,edge1,cloud1,104857600,29023,29022,29003,27933,807,237,18,27070,17
xwWdlMdolkOjpKZKFxDuFQ==,local,null,null,0,365,363,360,5,36,308,0,4,1
8spcZrXuD0yUQuXsCoZ/6A==,local,null,null,0,614,613,610,21,55,517,0,17,6
/4H7f1oCd0qwbK2wZSaD3w==,local,null,null,0,519,519,517,13,62,433,0,13,3
M7ZaNLnNzUq0oDeqgEJkBQ==,local,null,null,0,2530,2528,2525,2002,45,470,0,8,2
z1G5UmjWpkWlVU9+oqSBRA==,none,null,null,0,0,0,0,0,0,0,0,0,0
K6ndzVyee0Sy0QgSZCSy+g==,local,null,null,0,635,633,632,20,35,564,0,13,1
WJiU+yqq2kC8mhRiETb3Tg==,local,null,null,0,486,486,483,8,39,427,0,10,2
