tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
mAZej0SysEu679Rj/wyItw==,local,null,null,0,152,150,114,16,34,40,0,15,17
4ENQMeWXmUOnKhcYmesB+g==,remote,cloud1,cloud1,10485760,345,345,306,231,32,19,18,229,18
Z4LrTy+jxU2HEhSJHHPeCg==,remote,edge1,cloud1,10485760,2993,2989,2954,2857,40,23,27,2856,17
0lubEfzsCkW1EU18bgoSLQ==,none,null,null,0,1,0,0,0,0,0,0,0,0
PGGVJXfT20qeSJ4C4xKIUQ==,remote,edge1,cloud1,10485760,3227,3224,3177,3091,33,29,17,3089,17
XVVXynuf8EipoyE8qX9TGQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
uFIjhMvO4UOMqRTCZPfCqQ==,remote,edge1,cloud1,10485760,2877,2876,2838,2757,37,21,18,2756,17
nbcIFWNjAU6QJ9coV2uz/Q==,remote,edge1,edge1,10485760,1275,1274,1269,1152,25,72,2,278,1
Wfl8gkwPhkKo7yAtfXm5NQ==,remote,edge1,edge1,10485760,1305,1304,1297,1182,39,68,3,289,3
NL56e91b1ky0umcRt0OWrQ==,local,null,null,0,114,113,109,17,43,34,0,12,4
SMxjA1U6yUWOCfGFRHodvQ==,none,null,null,0,1,0,0,0,0,0,0,0,0
AHzz4zL2bE+ve6hDvWu2ew==,remote,edge1,edge1,10485760,414,414,410,335,32,35,1,332,2
/NLoqB7kI023MOP1eb0W9g==,local,null,null,0,224,222,218,34,49,112,0,31,5
Z5+JRdfNJEGSlha8E2PAEQ==,remote,edge1,cloud1,10485760,2912,2912,2877,2783,36,27,20,2781,17
482q2rAGsEq/NmPynPuhUg==,remote,cloud1,cloud1,10485760,499,498,460,360,43,29,17,359,18
6fKvf2V4IU2IQb3WhO2jgg==,remote,cloud1,cloud1,10485760,401,400,365,276,44,24,17,275,19
01pTCvVHHUawSTU6ZMTSOQ==,remote,edge1,cloud1,10485760,3014,3012,2974,2873,40,28,17,2854,17
+GGlyXjSkU69mgnoYsPmFw==,remote,edge1,cloud1,10485760,2942,2941,2903,2818,39,24,18,2817,18
SC1gNczczkuXYLGJA2Cdgw==,none,null,null,0,1,0,0,0,0,0,0,0,0
49OAkSFXLUyiQVVin/8+mg==,none,null,null,0,1,0,0,0,0,0,0,0,0
kiptS8exM0qMwz2WVStrvw==,local,null,null,0,136,136,98,13,35,26,0,12,17
589iAVicH0uUFUVAs3p3Hg==,local,null,null,0,871,870,834,28,747,32,0,27,18
RweflrYKUk++hzaGYjb69g==,remote,edge1,cloud1,10485760,2928,2927,2893,2808,37,27,19,2807,17
AwXV0EA7bEeVX2aHIdKWaQ==,remote,edge1,cloud1,10485760,2910,2909,2875,2799,33,22,17,2798,17
fxd1TCo4iEaiq5HhcM3K5Q==,local,null,null,0,69,67,65,16,20,24,0,15,2
etLHkX2alk2wpY+oOh4lHw==,remote,edge1,cloud1,10485760,3224,3223,3186,3066,35,60,18,3040,17
iuL2hcYsI0iW5u+UmW3Fng==,remote,cloud1,edge1,10485760,2822,2821,2818,2769,18,24,2,2768,2
4Bf+WFGc9EOaCqcrhgY/5A==,remote,cloud1,edge1,10485760,2800,2799,2795,2748,17,22,2,2747,2
BKZLDt11Oka9wbq3OI0mMg==,local,null,null,0,1879,1878,1845,1759,39,25,0,16,19
Y1pVT5dPgES/vgB1WsR6CA==,remote,cloud1,cloud1,10485760,430,428,393,312,34,26,16,311,18
oDE7Ks94V0OOI3wzJzNJiw==,remote,cloud1,edge1,10485760,2849,2848,2843,2780,20,36,3,2779,2
QQTBCZ1xLk6JbvzR918zlQ==,remote,edge1,cloud1,10485760,2968,2967,2931,2848,37,24,17,2845,18
KRwg5/P/20O5uZchcw31Fw==,remote,edge1,cloud1,10485760,3168,3167,3128,3036,36,28,17,3032,17
b7FLrrSRXEOnyEge4rx+xQ==,local,null,null,0,82,77,73,16,24,23,0,14,4
ZDCvf5fHIEq9BssCFjosuA==,remote,cloud1,edge1,10485760,2877,2875,2871,2791,35,31,2,2790,4
ij8u+tOG8kagiRhO00JCxQ==,local,null,null,0,646,644,607,531,33,21,0,12,18
ZUq+4NK3eU+zyYUpx3kDbQ==,local,null,null,0,201,198,189,55,48,74,0,42,2
3MvFrrhIx0SBAFvOMRnGOg==,none,null,null,0,2,0,0,0,0,0,0,0,0
zMYccYP58EqBGLvmyVJI3g==,remote,cloud1,cloud1,10485760,1002,1002,965,315,595,31,18,313,17
PDC1NSvy/Eaxvw/cvUDj8g==,remote,cloud1,edge1,10485760,2887,2885,2882,2804,25,44,1,2799,2
Z87jflRXUE6Z5DllnssLQw==,none,null,null,0,1,0,0,0,0,0,0,0,0
J5kvb7mnHkad1M6VHJhpWA==,remote,cloud1,cloud1,10485760,701,701,664,579,32,24,17,242,17
xixZJbEhLEOvbt3uypxErQ==,local,null,null,0,77,76,70,13,16,34,0,12,1
MM0nvvZQpkOxef/McsPiSQ==,remote,edge1,cloud1,10485760,3463,3462,3429,3354,32,21,18,2781,17
fZ5+oiQdu0KAgjJqqSZKig==,none,null,null,0,0,0,0,0,0,0,0,0,0
GCZhOMOahk6np1tl5hcZ5Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
