tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
qQ4E1Wzqc0q0N6dabo6zlw==,remote,cloud1,edge1,1048576,341,340,336,319,6,4,1,318,1
7PyJibAevUK7MrXZ5/KWLA==,remote,cloud1,edge1,1048576,338,337,334,313,5,7,1,312,1
dHWE5EERi0OlI3GSM2q74A==,local,null,null,0,26,26,22,4,6,5,0,2,1
4h9Gx1eLlE+6QA+VM7a5aw==,local,null,null,0,94,93,56,4,23,6,0,3,17
c0psxOoLm0WDjiNjYEJ+tg==,remote,edge1,cloud1,1048576,459,458,423,353,24,22,17,352,17
ySrV88icfEmDxNl90vNr6Q==,local,null,null,0,87,87,50,3,21,3,0,2,17
n5OXaaABgkKpSnNtVqn3Ng==,local,null,null,0,55,54,47,16,11,6,0,2,3
fPLatWmyeUGVKWpiQdUe4w==,remote,edge1,cloud1,1048576,510,507,467,416,21,4,18,415,17
w927iz36lUW32f0HVIYxtw==,local,null,null,0,56,54,48,6,7,17,0,4,1
TJXo+L8ixUCwRYb7sPI2RQ==,remote,edge1,edge1,1048576,95,94,90,74,5,6,6,70,1
skL/8rE54UidgebIIr8Kdw==,local,null,null,0,90,89,53,2,23,4,0,1,18
kH5MAiRsAUSLc4UTuZgE+A==,remote,edge1,cloud1,1048576,446,445,407,360,22,3,18,358,17
7LnCw5y6t0efAJKeG60iNw==,none,null,null,0,0,0,0,0,0,0,0,0,0
F5hDSVElnEORN0AM3uzcEg==,none,null,null,0,0,0,0,0,0,0,0,0,0
cQj4fn181UGldViGGFPeCw==,remote,edge1,cloud1,1048576,1407,1406,1373,368,980,4,17,366,17
wtpgplqHxEeJrPHtxjE/2w==,remote,edge1,edge1,1048576,106,105,103,87,7,4,2,86,2
ebpRZ9/I6kujxmXb7s4Kcg==,remote,edge1,edge1,1048576,1099,1099,1094,1050,8,20,2,48,2
SZ1G2l9kakGKtd8Cp1d1DQ==,local,null,null,0,61,60,55,17,11,11,0,3,1
gqd40rUr5Ey42wztPHP+jQ==,remote,edge1,edge1,1048576,114,112,108,80,6,12,4,50,1
nGMBgYzNd0yKYTpDq8k/3Q==,local,null,null,0,90,89,52,3,20,7,0,2,17
37nk1wLsO0K8kGBkIIfXgQ==,remote,cloud1,edge1,1048576,386,385,381,352,7,15,1,350,2
MIvG84MedU+PrEOjxnxJXg==,remote,edge1,edge1,1048576,68,66,63,48,6,3,1,41,3
XQie8/6mZ0ymc+L2NUHcKA==,remote,edge1,cloud1,1048576,462,461,423,369,23,6,18,367,17
PVa5Bef6ck+Mt9YAYgv0Hg==,remote,edge1,cloud1,1048576,437,436,399,352,22,3,17,351,17
GA0aaAe8Q0+O8wujTCDgow==,none,null,null,0,0,0,0,0,0,0,0,0,0
oRW+bmmeZEmGASKZxbQizA==,remote,cloud1,cloud1,1048576,136,134,101,48,22,6,17,45,17
WJwQ0pSUhE+OqrNamQq7KQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
pLTFQ6jfMk+/Q5pnC/RAGA==,none,null,null,0,1,0,0,0,0,0,0,0,0
fCjOkQA1BkOBaaeIxtbo8Q==,remote,edge1,cloud1,1048576,437,437,399,355,20,3,18,354,17
mIOLbAzQ0EmQwuVJ+lQO/Q==,local,null,null,0,94,93,53,3,20,8,0,2,17
JopfPn/Sj0iJTXVeNlFdIw==,local,null,null,0,119,115,76,8,22,6,0,2,17
