tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
TDLm/N401UKu2Pi4alJ+dg==,remote,edge1,cloud1,1048576,481,481,443,391,21,51,17,388,18
4LyTJFOS0kWnffCbL2URfA==,remote,edge1,cloud1,1048576,491,489,455,406,20,48,17,404,17
LCu9H78vPEuyIvFE69cCbg==,local,null,null,0,97,96,92,21,15,58,0,3,6
zeXckR6TU06nCzVEX5tMwg==,local,null,null,0,132,131,126,14,16,104,0,3,2
mAO+EJ+qQEeVc9yoVZpJww==,none,null,null,0,0,0,0,0,0,0,0,0,0
lC8vvm9nwEuCokOu511Krw==,none,null,null,0,0,0,0,0,0,0,0,0,0
UqNyxhHHDke906hQkc44EA==,local,null,null,0,753,751,735,17,612,715,0,11,8
68J76x/5AUOjDPqZF3VfgQ==,local,null,null,0,162,161,149,52,27,87,0,19,1
5FPnyByvF0eGRDlgUtbFGQ==,remote,edge1,edge1,1048576,2730,2729,2622,1756,53,638,118,383,6
cBn0hWPgDUqpfJhY+6KnQQ==,local,null,null,0,1077,1076,1058,19,14,1029,0,17,7
XqoY2eYlPkeX8A7YxfMQlg==,none,null,null,0,1,0,0,0,0,0,0,0,0
yy+yU1jXFES88F9lYYmuMg==,remote,edge1,edge1,1048576,1732,1731,1660,798,23,637,3,62,6
p7TkfQOhgUifkmUo29jhrQ==,remote,edge1,cloud1,1048576,465,464,431,383,21,46,17,382,17
jHnQlnA1OUGGxg/8VRZ56g==,local,null,null,0,2039,2038,2026,1991,9,30,0,4,3
WiItdHl99E2DTIRCihgl+Q==,local,null,null,0,142,141,141,13,20,111,0,3,5
JyfXA9lK/0aHyp31jD/LMw==,local,null,null,0,1051,1051,1047,6,1015,1031,0,3,8
nne1LfnLd0yWJoWu4fiC7A==,remote,edge1,cloud1,1048576,500,500,465,410,25,51,18,409,20
p0tG17YVoE22yb406CoTtA==,local,null,null,0,79,78,73,8,10,48,0,6,1
aiUy34z+ukSw+F1hWM6NRg==,none,null,null,0,1,0,0,0,0,0,0,0,0
13bgwl1okkq5nbBouZcoCQ==,remote,edge1,cloud1,1048576,3834,3833,3711,1328,43,230,19,343,19
Y6RthPHZX02W1OkzOXBgyg==,remote,edge1,cloud1,1048576,3184,3182,2517,2420,40,86,21,421,24
X+E9iVpmZkeB5keBwpkxDw==,remote,edge1,cloud1,1048576,3196,3194,3160,3034,39,122,20,397,25
yfwcnUDKUkyCDTJc48iW+w==,local,null,null,0,1128,1127,1122,18,1030,1093,0,3,3
QWd8gdTJBEC/L+6257Gcsw==,local,null,null,0,112,110,104,10,41,84,0,9,7
rj6RKRRSH0e5mQbZ1W6tTQ==,local,null,null,0,65,65,61,13,16,40,0,20,3
CnpJFDUlMESJu1/CGwcCWQ==,local,null,null,0,37,35,31,4,6,20,0,4,2
60SDjLuyRU6hUwMruw4D9Q==,local,null,null,0,55,53,45,9,17,26,0,2,6
i2l25Lf/YUy4Vu69K6fkKQ==,local,null,null,0,42,41,34,8,11,23,0,4,2
NBeTAGQfHk2mKApxbv9/yw==,none,null,null,0,0,0,0,0,0,0,0,0,0
ghzWllVTm0aSW+PeXQua3w==,none,null,null,0,0,0,0,0,0,0,0,0,0
YQR25bakfUG0NDc1shTNnA==,local,null,null,0,112,111,100,9,25,83,0,5,12
XrP8FUiCbkemsYAunQDXmw==,local,null,null,0,902,895,889,862,7,24,0,8,2
SAtu9OERkU6s/12RM7hOcw==,local,null,null,0,72,71,65,8,26,55,0,6,1
r2wIH8nsCkGkReof68NAnw==,local,null,null,0,76,73,66,9,13,55,0,5,4
Jg3KGmZSkUSvSMfNJ6SHLQ==,local,null,null,0,211,211,203,48,40,132,0,30,2
8bHqOYQFnEqMbsrumZj2qQ==,local,null,null,0,2508,2507,2254,1008,15,416,0,8,1
cS5P88hW80ShH4gqJPxBYw==,local,null,null,0,165,164,132,29,64,100,0,7,13
BAqUVUpW6k+gKFIjA+1/mg==,remote,edge1,cloud1,1048576,489,487,453,383,38,69,17,381,17
Ofr0C7n4c0CNAlQQxqioEw==,none,null,null,0,1,0,0,0,0,0,0,0,0
ndc+9gQBlEWgoNF3PW0Ylw==,none,null,null,0,0,0,0,0,0,0,0,0,0
