tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
ZuRHSq2Hok24ctW6Cs5Fdg==,remote,cloud1,edge1,1048576,428,428,421,341,43,76,4,330,1
mv21kiyKwk+2eRE5aTxXYg==,none,null,null,0,1,0,0,0,0,0,0,0,0
HurgmzDbyk27wVPv29qXjA==,remote,edge1,cloud1,1048576,496,495,460,382,26,66,16,381,18
uvhI2w9BeEqZCToFk1bU4g==,remote,edge1,cloud1,1048576,467,465,431,368,29,61,19,366,22
4pfmBk20KkixlxYruPLX0A==,none,null,null,0,0,0,0,0,0,0,0,0,0
R+6ciqbYMEmJLRnkLNmQ/w==,remote,cloud1,edge1,1048576,387,386,377,344,7,29,2,340,3
YO0Q99J3bUG9K8kj7GMW7g==,none,null,null,0,3,0,0,0,0,0,0,0,0
ji2MTrfDMU6ghoDl1rDumQ==,local,null,null,0,138,137,135,80,16,50,0,9,3
N2FS71i8ik6s/pzQMrNHxA==,remote,edge1,cloud1,1048576,1129,1127,1089,996,32,90,17,372,17
EI7kP4q47k+z+U9juKCncg==,none,null,null,0,0,0,0,0,0,0,0,0,0
cZXDllushUiMLVp149Hgig==,remote,edge1,edge1,1048576,59,56,50,32,8,16,2,31,2
knX0skJQKkCKhHnT1AS2mw==,local,null,null,0,106,105,100,20,47,74,0,6,3
EBb8sETzIEaC3cfsczpkvw==,remote,edge1,cloud1,1048576,471,469,434,375,30,56,19,372,18
NLJN/tiRBEqBW8Sn/8WfwA==,remote,edge1,cloud1,1048576,463,462,428,351,31,74,17,349,17
WaXIMJX+9E2kcueUawTDDA==,none,null,null,0,0,0,0,0,0,0,0,0,0
cP6Lc1VYH0Oqeo8DpgQQpQ==,remote,edge1,cloud1,1048576,446,443,408,358,21,47,17,353,17
MYnY6O+Gc0GYOYIuE8+NoA==,remote,edge1,cloud1,1048576,423,422,389,332,25,54,18,331,19
pRrdG8H67E+Y+3I8Zpn9cQ==,remote,edge1,cloud1,1048576,405,404,367,318,20,46,17,313,17
jzEwsqhBr06mmg5/46qKGQ==,remote,cloud1,cloud1,1048576,253,252,218,91,55,123,18,86,24
BQrfK41AB06TX1Ohm+wKOQ==,remote,edge1,cloud1,1048576,501,499,467,367,34,90,18,366,25
gOPO7puBZku617SzLaH00g==,remote,edge1,cloud1,1048576,1132,1127,1092,998,29,91,17,391,18
bz/pRqmf60iI6QzUznINTA==,remote,cloud1,cloud1,1048576,181,179,142,86,24,53,17,44,18
cyDjSKfu30S/JYYS4KyVSQ==,remote,cloud1,edge1,1048576,434,433,421,355,30,62,2,346,8
rSWWqR6O/kisxXvlSMz19Q==,remote,edge1,cloud1,1048576,1212,1212,1172,357,787,812,17,342,18
EFGIoBtbAk6Dz13YioWnxw==,remote,cloud1,edge1,1048576,416,414,406,363,7,39,1,358,1
Fe+xUmAnuk6onR6/DALD0g==,local,null,null,0,120,118,79,5,38,71,0,3,22
COh0sfYJqE2bZjpYUa6n0w==,local,null,null,0,941,940,906,5,859,897,0,3,19
QBzCZ/AX4EatfnikJABa/w==,remote,edge1,cloud1,104857600,31448,31447,31411,31110,126,296,18,31108,19
qaXAhAD62Em6yZOVfnzjdQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
7HHH0vFe3EyjhElAhsxvEw==,remote,cloud1,cloud1,1048576,132,131,95,48,21,45,17,48,17
NYrEh1uZjU2oCqH0Y3Ocfw==,remote,edge1,cloud1,1048576,443,442,407,338,29,67,18,336,18
Qg2KznRirk2cQTBhSKKzIA==,none,null,null,0,0,0,0,0,0,0,0,0,0
gl7qF7p0y0mGvOzVhgMK5A==,remote,edge1,edge1,1048576,87,86,83,42,13,38,3,44,7
TG2CoFX2rUawaPG+r5H6sQ==,remote,cloud1,cloud1,1048576,133,132,98,43,24,52,18,41,18
h0NpGM2DVUaM5HDVLzYyVQ==,remote,edge1,cloud1,1048576,441,434,393,342,23,49,18,339,19
oz03QGSLkEy3wCPkn/HY6Q==,local,null,null,0,65,64,59,7,16,48,0,5,2
TcHagV3Rnk+fUakKrGWvVg==,none,null,null,0,1,0,0,0,0,0,0,0,0
HEQAYc8Rd02iklAomid8lw==,none,null,null,0,1,0,0,0,0,0,0,0,0
HxChdUHiYkyowiloGqX3oA==,remote,edge1,cloud1,1048576,501,499,461,366,51,86,18,357,29
OE38+6MqpUyEGpYUR6+HjQ==,remote,cloud1,edge1,1048576,405,405,393,349,10,38,3,347,2
iVqQSTWo+UWJkdRLnJSl6g==,remote,edge1,cloud1,1048576,1224,1224,1189,364,798,823,18,360,18
Ih/Sa3ibC0yvlDj3v2VKKw==,none,null,null,0,0,0,0,0,0,0,0,0,0
Xw4GZxhVREyEAoF44ouwJQ==,local,null,null,0,97,96,62,5,24,54,0,1,18
eo539chQK06zlz1ND5gIQw==,remote,cloud1,cloud1,1048576,150,149,115,57,24,55,18,53,18
Bb24IF+6ZUOYthJJGknkyA==,remote,cloud1,edge1,1048576,378,377,374,330,11,39,3,319,5
QRMMXERkIU+XRma24HvPfQ==,remote,edge1,cloud1,1048576,468,467,431,367,24,61,17,365,17
0zPFrwxsKE6fDeTpDbd2mQ==,remote,cloud1,edge1,1048576,403,401,397,330,22,61,2,324,1
