tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
ZJOxsz1r7k6GRIMhzD+IZw==,local,null,null,0,51413,51413,51410,1005,41,50354,0,6,4
DjixMeF5mESsaNRy5/+aGg==,local,null,null,0,51384,51383,51380,1008,31,50325,0,6,2
q3zBsZ9u+ku4l/H6Z4yVGg==,none,null,null,0,0,0,0,0,0,0,0,0,0
igx7JQ9MWkycuV+IdYu9qQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
ncGIhPLKsU2u+l4pJVgKbQ==,local,null,null,0,53191,53191,53157,2006,66,51046,0,5,35
srUmqbY9n0unVXFvOOjzsg==,remote,edge1,cloud1,104857600,73065,73064,72256,4757,99,67313,82,3756,81
7fuDXW6kq06ptUT9GpvO6A==,local,null,null,0,51253,51253,51219,11,55,51110,0,6,18
SeX4DQ+LNkqnnPjRJRKGUg==,local,null,null,0,50711,50710,50694,6,52,50597,0,4,17
tXT+Szix0EiA6mUGfki+bg==,local,null,null,0,52279,52279,52245,9,46,52149,0,6,19
hLfK997AmE+JKuGGkF1pxg==,remote,edge1,cloud1,104857600,68415,68415,68249,3757,157,64151,163,3756,88
m9rXNMFkMECBNOpmZt9RJw==,local,null,null,0,53190,53190,53156,2006,74,51046,0,6,37
doZ3MWBHtEGpZq10LSGy+w==,local,null,null,0,50448,50447,50443,17,34,50371,0,13,2
m57sTQ1h/kSJqHExrR2W6w==,local,null,null,0,51257,51254,51251,998,36,50201,0,9,4
RLyMswdfGkaqSUHDwDoGdw==,none,null,null,0,0,0,0,0,0,0,0,0,0
uIUhIpAVCUaUsxRQHidjrA==,local,null,null,0,49919,49918,49884,11,49,49785,0,9,19
b4eHLKyw3UqdpHksgE9qbw==,local,null,null,0,49934,49933,49925,16,41,49853,0,9,4
6mzr7/xAs0W54exHB/WNHg==,local,null,null,0,49797,49796,49795,11,38,49736,0,7,3
xG8Iat7M0EOrMoJSV+6UgA==,local,null,null,0,49839,49838,49836,12,31,49784,0,9,3
tQgGi3SQ8kiyOZzlcwj0Dg==,local,null,null,0,51328,51328,51325,1008,38,50259,0,6,3
9j3HpMz6g0OM97FcNmTULA==,remote,edge1,cloud1,104857600,69053,69052,68970,4559,108,64215,82,3662,82
AvMdGs+IYEChCbWNfO/PHQ==,local,null,null,0,50341,50340,50338,7,22,50305,0,7,1
Mx2OwRdQnkynPsyvyaWsvg==,local,null,null,0,53615,53614,53581,907,47,52602,0,5,18
X6QHzoLbfkSLi9S0gw6+qA==,none,null,null,0,0,0,0,0,0,0,0,0,0
CkgLRF8IMUexePCraWQw5w==,remote,edge2,cloud1,104857600,35620,35620,35454,3635,104,31543,167,3630,83
I0jKrxkNE0iwAoRwNFuUHg==,local,null,null,0,50948,50948,50915,8,40,50846,0,4,16
rncBdlGklEKyyFYy3iEMtw==,remote,edge2,cloud1,104857600,65610,65609,65521,3359,100,61973,87,3345,81
b90we7FArUS3v+ivf6EoLw==,local,null,null,0,49745,49744,49727,14,44,49651,0,9,3
80+/DSBRG0yCaE/kH/dHFg==,remote,edge2,cloud1,104857600,35711,35710,35541,3640,103,31628,164,3638,83
bGULYn1F40upl7PdXA2xSA==,local,null,null,0,50756,50755,50719,10,49,50622,0,8,18
TQEzc3jsMkS+5jtCUrrI8w==,none,null,null,0,0,0,0,0,0,0,0,0,0
jwQ49b9JHUWNuSAanOLeqw==,none,null,null,0,0,0,0,0,0,0,0,0,0
f6j0k+ZDVUiSwFDNTLiMAw==,local,null,null,0,50406,50406,50400,21,24,50347,0,13,1
dYEsvuSpnkGxHYU3yRnujQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
h2TY/zzN9EKK7D2qNk1b5w==,remote,edge1,cloud1,104857600,71930,71930,71765,3716,722,67236,162,3712,86
qEdU9deFTUKFGYVwLaMXYQ==,local,null,null,0,50388,50387,50369,9,39,50300,0,6,17
6DL7AnqoAkOrUBFTu6eVLA==,local,null,null,0,50776,50776,50758,7,35,50696,0,5,17
gB4iPAaEGUuO/jK5H1/WGg==,local,null,null,0,53247,53247,53216,909,49,52214,0,7,18
cu1hYDNlZ0+koClWM70isQ==,local,null,null,0,51345,51344,51341,1008,39,50287,0,8,3
UMHLk28C10SwVFvJMy6CfA==,local,null,null,0,49881,49881,49880,15,38,49820,0,5,3
6QC7BrSgdEOhROhvXghcoQ==,remote,edge1,cloud1,104857600,71647,71647,71564,3632,613,67131,83,3630,83
ZxFS1/AW5UWUAp/qHYG6LA==,none,null,null,0,0,0,0,0,0,0,0,0,0
zh77yDdQD06rh14F2fQhMQ==,local,null,null,0,51382,51380,51376,997,45,50324,0,8,4
cJWkpzisV0+1I9s0G5Xhxw==,none,null,null,0,0,0,0,0,0,0,0,0,0
TOGx+WolG0WOi8INDOa9qw==,local,null,null,0,50147,50147,50145,11,40,50080,0,7,2
R4bpCZnSpE21rNAXMiQhFg==,local,null,null,0,50394,50394,50391,9,32,50341,0,6,1
DfZON9T3YUSbESi61fOxpw==,local,null,null,0,50550,50549,50512,30,74,50364,0,12,39
VaDQSP9l4kSzC0hXeE8++g==,local,null,null,0,50099,50099,50096,10,44,50038,0,6,3
JqfmPu/RUkeHKLW+X9GNHA==,local,null,null,0,51198,51197,51180,7,48,51103,0,5,18
okjoXsaFy0y/UlYv8fG6kg==,none,null,null,0,0,0,0,0,0,0,0,0,0
NieCGxeNLk6zH90/eGgEYA==,remote,edge1,cloud1,104857600,73273,73272,73108,3730,110,69180,164,3725,82
mETr9SmTKE++Oy3Gp/6+FQ==,remote,edge2,cloud1,104857600,72879,72879,72796,3248,156,69211,90,3247,87
DG7/ylOMok+P+zly1fAKUg==,local,null,null,0,50603,50602,50599,10,23,50561,0,7,1
MbHbcJDOWkaW/XW0+PoFyQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
rHN9SIFNP0KKDqshMapccg==,remote,edge2,cloud1,104857600,35756,35755,35588,3666,106,31646,169,3664,86
eHkun1I/BUegk4PADeEm8g==,local,null,null,0,52222,52221,52205,8,40,52135,0,6,17
8/5apQrYdUalYktWl0fX+A==,local,null,null,0,53270,53267,53233,1008,53,52150,0,5,19
za3WXAGfo0OPY16JHtiK9g==,local,null,null,0,53181,53178,53144,1008,57,52037,0,6,20
0PrWjGYhxECIWb0oPaKqzQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
