tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
RoLIE8N0K0y+BVXLAQ/TcA==,none,null,null,0,0,0,0,0,0,0,0,0,0
Q0k7NP7AaUGD5O+POjpzrw==,remote,edge1,cloud1,10485760,2856,2855,2837,2749,26,37,20,2746,16
t/bdI7sTxkeP3WeHKFXXtA==,local,null,null,0,127,126,122,16,39,58,0,11,4
IzjFvikW/0m3vo7TqlmDMQ==,local,null,null,0,111,110,107,10,17,67,0,6,3
9VDp5qKE4UyOJwGKq7b+gg==,local,null,null,0,905,904,901,812,23,53,0,10,1
G+Xvw9AApUmLTBoQP3nEWw==,none,null,null,0,0,0,0,0,0,0,0,0,0
GTTrZGedOE+MPCPXon5q4g==,local,null,null,0,142,142,138,8,22,93,0,7,4
8sTK182hIU+OPSXkr3kOwg==,remote,edge1,cloud1,10485760,3734,3734,2855,2754,30,48,17,2750,17
6VUNJ1M7PkKC66mdGVYZOQ==,local,null,null,0,116,115,109,20,17,61,0,14,1
bpxyBwnHHUCmva/7tHznQw==,remote,edge1,cloud1,10485760,2911,2910,2892,2813,26,32,16,2812,18
OcwHLiCRh06tEUn3mZJEkQ==,local,null,null,0,106,106,100,15,18,59,0,12,1
nJySIPS/3EywFC3U4G8jRA==,local,null,null,0,96,95,94,21,7,58,0,11,1
RVX890fdiUGeUeui7um5vQ==,local,null,null,0,93,92,90,6,11,62,0,6,1
pln18MIYGE+vuiaknjNR0g==,none,null,null,0,1,0,0,0,0,0,0,0,0
pz+C2yxWyEuoqK3VMQQvLg==,local,null,null,0,112,111,107,14,19,59,0,29,2
cY/s4plj50q+F7hIteos5g==,local,null,null,0,130,129,127,16,17,84,0,12,2
fjn/z2U1C02XjOqpWJRxBA==,remote,edge1,cloud1,10485760,2859,2858,2839,2764,26,19,17,2763,17
